#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,long
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,email_id,enable,priority,shop_id,synced
,,0,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:34.93177Z,EmailNotificationConfig,Common,ConfigData,"edgepoc2022@gmail.com,sakshi.bole@in.ey.com,sachin.more1@in.ey.com",yes,low,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1
,,0,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:35.93177Z,EmailNotificationConfig,Common,ConfigData,"edgepoc2022@gmail.com,sakshi.bole@in.ey.com,sachin.more1@in.ey.com",yes,medium,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1
,,0,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:36.93177Z,EmailNotificationConfig,Common,ConfigData,"edgepoc2022@gmail.com,sakshi.bole@in.ey.com,sachin.more1@in.ey.com",yes,high,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1
,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,long,
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,color,id,range,synced,
,,1,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:43.93177Z,KPIColorConfig,Common,ConfigData,red,ce61b088-f63f-49a8-9be2-61de9566f848,75-100,0,
,,1,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:44.93177Z,KPIColorConfig,Common,ConfigData,yellow,f1d4d131-f05e-4170-ac45-6c220a715df6,50-75,0,
,,1,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:45.93177Z,KPIColorConfig,Common,ConfigData,green,5d9266b4-7b9e-4d65-9056-6714650b4056,25-50,0,
,,1,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:46.93177Z,KPIColorConfig,Common,ConfigData,,0b802a50-af8d-40d4-a788-fcea2240a1f5,0-25,0,
,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,long,string,string,long,long
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,from,shift_id,shift_title,synced,to
,,2,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:40.93177Z,ShiftConfig,Common,ConfigData,6,e16056b2-7dbf-42f9-aa67-ed3647087b22,A,1,14
,,2,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:41.93177Z,ShiftConfig,Common,ConfigData,14,4f0bfa25-3025-4842-8836-9b018da755b0,B,1,22
,,2,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:42.93177Z,ShiftConfig,Common,ConfigData,22,41665adb-69ce-4998-975b-fbad3e130c87,C,1,6
,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,long,string
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,enable,priority,shop_id,synced,whatsapp_id
,,3,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:37.93177Z,WhatsappNotificationConfig,Common,ConfigData,yes,low,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,"+917387018471,+917972661035"
,,3,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:38.93177Z,WhatsappNotificationConfig,Common,ConfigData,yes,medium,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,"+917387018471,+917972661035"
,,3,2023-07-14T06:32:22.473051962Z,2023-07-21T06:32:22.473051962Z,2023-07-21T06:12:39.93177Z,WhatsappNotificationConfig,Common,ConfigData,yes,high,a56253b0-e7d0-4a0a-a777-0231bdb5152b,1,"+917387018471,+917972661035"
